Style,Progression,Transposable,Mode
Blues,I-V-IV-IV-I-V-I-V-I,yes,Major
Pachelbel,I-V-vi-iii-IV-I-IV-V-I,no,Major
Popular,I-V-IV-I,yes,Major
Popular,I-V-vi-IV-I,yes,Major
Popular,I-IV-V-I,yes,Major
Popular,I-vi-iii-vii°-I,yes,Major
Popular,I-vi-IV-V-I,yes,Major
Popular,vi-V-IV-V-I,no,Major
Popular,I-IV-vi-V-I,yes,Major
Popular,I-V-IV-V-I,yes,Major
Popular,vi-IV-I-V,yes,Major
Popular,I-IV-bVII-IV-I,no,Major
Popular,I-V-vi-iii-IV-I,no,Major
Popular,I-bVII-IV-I,no,Major
Popular,i-VII-VI,no,Minor
Popular,I-vi-ii-V-I,yes,Major
Rock,I-IV-I,yes,Major
Rock,V-vi-I-V-I,yes,Major
Rock,I-vi-IV-V-I,no,Major
Rock,I-V-vi-IV-I,yes,Major
Rock,ii-IV-V,no,Major
Rock,I-IV-V-IV,yes,Major
Rock,V-IV-I,yes,Major
Rock,vi-IV-I-V,no,Major
Rock,vi-V-vi-V,no,Major
Rock,vi-V-IV-iii,no,Major
Rock,ii-I-V-bVII,no,Major
Rock,ii-I-V-vi,no,Major
Alternative,vi-IV-I-V,yes,Major
Dreadful,I-vi-IV-V-I,yes,Major
Endless,I-vi-ii-IV-I,yes,Major
Energetic,I-iii-IV-vi-I,yes,Major
Folk,I-V-I-IV-I,yes,Major
Folk,I-vi-I-IV-I,yes,Major
Flamenco,vi-V-IV-III-I,yes,Major
Flamenco,vi-V-VI-V-I,yes,Major
Grunge,I-IV-iii-vi-I,yes,Major
Rebellious,IV-I-IV-V-I,yes,Major
Wild,I-IV-I-IV-I,yes,Major
Jazz,ii-V-I-V-I,yes,Major
Love,I-IV-V-IV-I,yes,Major
Nostalgic,I-IV-I-V-I,yes,Major
Sad,I-IV-V-V-I,yes,Major
Sad,I-V-IV-IV-I,yes,Major
Sad,I-IV-V-IV-I,yes,Major
Sweet,V-IV-I-I,yes,Major
Sweet,I-IV-I-IV,yes,Major
Sweet,I-V-I,yes,Major
Wistful,I-IV-vi-I,yes,Major
Moody,ii-I-V-vii°,yes,Major
251,ii-V-I,yes,Major
Heroic,V-bVI-bVII-I,yes,Major
Popular,i-iv-v-i,yes,Minor
Popular,i-VI-III-VII,yes,Minor
Popular,i-iv-V7-i,yes,Minor
Popular,i-VII-VI-V,yes,Minor
Popular,i-iv-VII-III-VI-ii°-V-i,no,Minor
Popular,i-v-VI-v,yes,Minor
Popular,i-III-VII-i,yes,Minor
Popular,ii°-V-i,yes,Minor
Popular,i-VI-iv-v,yes,Minor
Popular,i-VII-i,yes,Minor
Popular,i-v-iv-i,yes,Minor
Jazz,ii°-V-i,yes,Minor
Jazz,im7-IV7-bVIImaj7-bIIImaj7,no,Minor
Rock,i-VI-III-VII,yes,Minor
Rock,i-bVII-v-i,no,Minor
Sad,i-v-VI-III-iv-i-iv-v,no,Minor
Epic,i-VI-VII-i,yes,Minor
Spanish,i-bVII-bVI-V,no,Minor
